Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Nine Thou (Grant Mohrman Superstars Remix)","Styles Of Beyond","Nine Thou (Grant Mohrman Superstars Remix)","Favorite Songs","Favorite","USHM80779813","1tecfydTJfh9cKUJV4d3vo"
"олени ебуться","олени ебуться","Nine Thou (Grant Mohrman Superstars Remix)","Favorite Songs","Favorite","USHM80779813","1tecfydTJfh9cKUJV4d3vo"
"'79 aka The Shouty Track","Lemon Jelly","'64-'95","Favorite Songs","Favorite","GBBKS0400094","6Ic7vgkheyMrYjXlXwp2Q7"
"Everything Always Goes Wrong","A Place To Bury Strangers","Exploding Head","Favorite Songs","Favorite","GBAJH0900419","6AnWptoLZFe7slYh00ePBo"
"Evolution","Korn","Untitled","Favorite Songs","Favorite","USVI20700869","4PaPZk1Ozg0TfDTBnbXX38"
"I Dreamed I Dream","Sonic Youth","Sonic Youth","Favorite Songs","Favorite","USGF19970817","3ZSBXMcdSXbTnsivHfkb1e"
"The Day Is My Enemy","The Prodigy","The Day Is My Enemy","Favorite Songs","Favorite","GBCEJ1400351","5ktiAN5ZmNa3yO5ZuXnFJ2"
"Down with the Sickness","Disturbed","The Sickness","Favorite Songs","Favorite","USGI19900180","40rvBMQizxkIqnjPdEWY1v"
"Control It","Static-X","Shadow Zone","Favorite Songs","Favorite","USWB10302024","6PyawKQl2tQGqmitbvB4ov"
"Take A Look Around","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","Favorite Songs","Favorite","USIR10000604","2avKuMN2QXkaG9vvHa2JLt"
"Труба (feat. Anacondaz)","Кожаный Олень","Снегири И Суперклей","Favorite Songs","Favorite","TCACK1537941","7Bekk1NWjmv8y0q5FYBLqj"
"Hotride","The Prodigy","Always Outnumbered, Never Outgunned","Favorite Songs","Favorite","GBBKS0461552","4KBOnpPbABfXoIQS9Axlh8"
"Spitfire","The Prodigy","Always Outnumbered, Never Outgunned","Favorite Songs","Favorite","GBBKS0461550","65m3XlmjBPioRtWxmdyIDB"
"The Salmon Dance","The Chemical Brothers","We Are The Night","Favorite Songs","Favorite","GBAAA0700880","3vRYtf5xgPrYeVzAmqvzTd"
"Survivalism","Nine Inch Nails","Year Zero","Favorite Songs","Favorite","USUM70724793","04k85vfh2EbwmBFG7ssCF0"
"Zero - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","Favorite Songs","Favorite","USVI21200895","4YFcGTdgmEuw8xTO4XrxbB"
"Москва","Mongol Shuudan","Choisies de…","Favorite Songs","Favorite","RUB311603402","22XuGBE8ZH6Q8w4lSmr2Xv"
"The Chemicals Between Us - Remastered","Bush","The Science Of Things (Remastered)","Favorite Songs","Favorite","QM7YK1400055","2zS8FkQaSNHAIpqePh95JB"
"Wish","Nine Inch Nails","Broken","Favorite Songs","Favorite","USIR19200520","0XfNjyJcb7d2ZAscVM4K7J"
"Firestarter","The Prodigy","The Fat of the Land","Favorite Songs","Favorite","GBBKS9700080","79CUrU5o2KAVDTNm4x3eGU"
"Shapeshifter (feat. Styles of Beyond)","Celldweller","Celldweller (Definitive Edition)","Favorite Songs","Favorite","USV351329494","0lh9SN28AiSNGLZFz4KBF0"
"Zerstörer","And One","Zerstörer","Favorite Songs","Favorite","DEBZ71100009","6KcFfWpavg70J3APCuNWML"
"Come a Little Closer","Cage The Elephant","Melophobia","Favorite Songs","Favorite","USRC11301144","4sebUbjqbcgDSwG6PbSGI0"
"Ya Mama (Original Version)","Fatboy Slim","Halfway Between the Gutter and the Stars","Favorite Songs","Favorite","GBBMQ0000116","7puNVvfdr6cNCycSK8gFjX"
"Go","The Chemical Brothers","Born In The Echoes","Favorite Songs","Favorite","GBUM71502365","2cNjgoSh1TBHFQIhfzRJUE"
"Nothing Going On","Clawfinger","A Whole Lot of Nothing (Limited Edition)","Favorite Songs","Favorite","DEC760100144","4drOZxtx3tjVazPLmG4MRC"
"Out to Get Me","Clawfinger","A Whole Lot of Nothing (Limited Edition)","Favorite Songs","Favorite","DEC680100825","2igFFb8FsNxOW7RQSmSTfL"
"Fuck U","Archive","Noise","Favorite Songs","Favorite","GBEYA0300035","34ebeHWIGQrAt99L1R2Kyn"
"Without Me","Eminem","The Eminem Show","Favorite Songs","Favorite","USIR10211038","7lQ8MOhq6IN2w8EYcFNSUk"
"Biggest & the Best","Clawfinger","Clawfinger","Favorite Songs","Favorite","CH4061701424","51XrhhPlt1smLatJgcBrUb"
"System","Archive","Lights","Favorite Songs","Favorite","GBEYA0600087","3PSV7DLtihjxqaX11alj5F"
"Hater","Korn","The Paradigm Shift (World Tour Edition)","Favorite Songs","Favorite","US5Z51400560","0bpZrtdbpFSB1jbXXPU7Lp"
"Less Than","Nine Inch Nails","Add Violence","Favorite Songs","Favorite","TCADE1704630","7jDKJSjIjT93v7brsZDcoT"
"Left Hand Free","alt-J","This Is All Yours","Favorite Songs","Favorite","GBZUZ1400272","5qJqzpNdEbt92roedFwoDR"
"Hollywood Whore","Papa Roach","Metamorphosis","Favorite Songs","Favorite","USUM70839461","2nAUcVNxXpOTohdYdONend"
